city,city_lat,city_lon,grid_lat,grid_lon,lat_idx,lon_idx,distance_km
Dakar,14.6928,-17.4467,14.75,-17.5,9,2,8.562212287735191
Kaolack,14.1593,-16.0726,14.25,-16.0,11,8,12.765549209270976
Saint-Louis,16.0333,-16.5,16.0,-16.5,4,6,3.7028048392958977
Thiès,14.7886,-16.926,14.75,-17.0,9,4,9.04034797464555
Ziguinchor,12.5833,-16.2667,12.5,-16.25,18,7,9.43822468667198
Diourbel,14.6596,-16.2335,14.75,-16.25,9,7,10.20748571601341
Tambacounda,13.7671,-13.6681,13.75,-13.75,13,17,9.047599581360766
Fatick,14.3347,-16.4069,14.25,-16.5,11,6,13.760169571185346
Kolda,12.8939,-14.9422,13.0,-15.0,16,12,13.357444266565091
Matam,15.6554,-13.2557,15.75,-13.25,5,19,10.536674609310628
Kédougou,12.5575,-12.1756,12.5,-12.25,18,23,10.300446853526449
Sédhiou,12.7086,-15.5569,12.75,-15.5,17,10,7.699325632528007
Louga,15.6186,-16.2284,15.5,-16.25,6,7,13.38923829620167
Kaffrine,14.1059,-15.55,14.0,-15.5,12,10,12.951918730115317
Touba,14.85,-15.8833,14.75,-16.0,9,8,16.764333200077832
